7zip 24.09-3
alacritty 0.15.1-1
amd-ucode 20250210.5bc5868b-1
ansible-core 2.18.2-1
azure-cli 2.69.0-1
barrier 2.4.0-3
base 3-2
base-devel 1-2
bat 0.25.0-4
bchunk 1.2.2-8
bind 9.20.5-1
binsider 0.2.1-1
binwalk 3.1.0-1
blackarch-keyring 20180925-5
blueman 2.4.4-1
brightnessctl 0.5.1-3
bspwm 0.9.10-4
btrfs-progs 6.13-1
cargo-generate 0.22.1-3
cargo-watch 8.5.3-1
dalfox 1592.2e19e44-1
dbeaver 24.3.4-1
dkms 3.1.5-1
dmenu 5.3-3
docker 1:27.5.1-1
docker-compose 2.33.0-1
dunst 1.12.1-1
efibootmgr 18-3
emacs 29.4-4
evil-winrm 1:v3.7.r0.gffe958c-2
exploitdb 20241126-1
eza 0.20.21-1
fastfetch 2.36.1-1
feh 3.10.3-1
firefox 135.0-1
freetube-bin 0.23.1-1
git 2.48.1-1
go 2:1.24.0-1
gobuster 2:367.308cf9f-1
golangci-lint 1.64.5-1
google-chrome 133.0.6943.98-1
grub 2:2.12-3
gst-plugin-pipewire 1:1.2.7-1
gvfs-mtp 1.56.1-3
hashid 1:397.7e8473a-6
htop 3.3.0-3
imagemagick 7.1.1.43-1
iwd 3.4-1
jq 1.7.1-2
juumla 106.130565e-4
kompose 1.35.0-1
leafpad 0.8.19-3
less 1:668-1
libaio 0.3.113-3
libpulse 17.0+r43+g3e2bb8a1e-1
lightdm 1:1.32.0-6
lightdm-gtk-greeter 1:2.0.9-1
ligolo-ng v0.7.5.r0.gad07712-1
linux 6.13.2.arch1-1
linux-firmware 20250210.5bc5868b-1
linux-headers 6.13.2.arch1-1
maim 5.8.0-2
mercury-browser-bin 999-1
metasploit 6.4.49-1
microsoft-edge-stable-bin 133.0.3065.69-1
mpc 0.35-1
mpd 0.23.17-1
nano 8.3-1
ncdu 2.7-1
ncmpcpp 0.10.1-2
nemo 6.4.4-1
neovim 0.10.4-2
nmap 7.95-1
npm 11.1.0-2
nvidia-dkms 570.86.16-2
nvidia-settings 570.86.16-1
obs-studio 31.0.1-2
onefetch 2.23.1-1
openbsd-netcat 1.226_1-3
openfortivpn 1.22.1-2
openldap 2.6.9-1
openssh 9.9p1-2
openvpn 2.6.13-1
pacman-contrib 1.11.0-1
pamixer 1.6-3
papirus-icon-theme 20240501-1
pavucontrol 1:6.1-1
perl-image-exiftool 13.19-1
physlock 13-5
picom 12.5-1
pipewire 1:1.2.7-1
pipewire-alsa 1:1.2.7-1
pipewire-jack 1:1.2.7-1
pipewire-pulse 1:1.2.7-1
playerctl 2.4.1-4
pocl 6.0.r322.gf0e12ad-1
polkit-gnome 0.105-11
polybar 3.7.2-2
pre-commit 4.0.1-2
pyenv 1:2.5.3-1
python-gobject 3.50.0-2
python-pip 25.0.1-1
python-xlsx2csv 0.7.8-2
qemu-system-x86 9.2.0-2
radare2 5.9.8-1
ranger 1.9.4-3
redshift 1.12-14
responder 4:v3.1.5.0.r2.gd740fb5-1
rizin 0.7.4-1
rnote 0.11.0-1
rofi 1.7.8-2
rofi-greenclip 4.2-3
rpi-imager 1.9.0-3
rsync 3.4.1-2
rustup 1.27.1-1
rxvt-unicode 9.31-6
rz-cutter 2.3.4-9
seclists 4070.72fde119-1
simple-mtpfs 0.4.0-1
smartmontools 7.4-2
smbclient 2:4.21.3-1
smbmap 1:v1.10.7.r3.g8b6b5af-1
sqlmap 1.8.12-2
sshpass 1.10-2
steghide 0.5.1-11
stegseek 1:v0.6.r10.g5896978-1
subfinder 1:v2.6.7.r60.gf77b5bd-1
sxhkd 0.6.2-4
tableplus 0.1.260-1
tdrop-git 0.5.0.r17.ge7d0cc9-1
teams-for-linux-bin 1.12.5-1
telegram-desktop 5.11.1-1
terraform 1.10.5-1
traceroute 2.1.6-1
trash-cli 0.24.5.26-2
tree 2.2.1-1
ttf-inconsolata 1:3.000-4
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.3.0-1
ttf-joypixels 8.0.0-2
ttf-maple 6.4-2
ttf-terminus-nerd 3.3.0-1
ueberzug 18.3.1-4
unrar 1:7.1.3-1
unzip 6.0-22
vim 9.1.1065-1
visual-studio-code-bin 1.97.2-1
webp-pixbuf-loader 0.2.7-1
wget 1.25.0-1
winbox 4.0beta17-1
wireless_tools 30.pre9-4
wireplumber 0.5.8-1
wireshark-qt 4.4.3-1
wpa_supplicant 2:2.11-3
xclip 0.13-6
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xdo 0.5.7-3
xdotool 3.20211022.1-2
xorg-server 21.1.15-1
xorg-xdpyinfo 1.3.4-2
xorg-xhost 1.0.10-1
xorg-xinit 1.4.3-1
xorg-xkill 1.0.6-2
xorg-xrandr 1.5.3-1
xorg-xsetroot 1.1.3-2
xorg-xwininfo 1.1.6-2
xqp 0.1-2
xsstrike 467.f292787-6
yay 12.4.2-1
yt-dlp 2025.01.26-1
zaproxy 2.15.0-1
zram-generator 1.2.1-1
zsh 5.9-5
zsh-autosuggestions 0.7.1-1
zsh-history-substring-search 1.1.0-2
zsh-syntax-highlighting 0.8.0-1
